id_partido,grupo,equipo_a,equipo_b
1,A,Mexico,Sudafrica
2,A,Corea Sur,Chequia
3,B,Canada,Bosnia
4,D,USA,Paraguay
5,C,Haiti,Escocia
6,D,Australia,Turquia
7,C,Brasil,Marruecos
8,B,Catar,Suiza
9,E,Alemania,Curazao
10,E,Costa de Marfil,Ecuador
11,F,Holanda,Japon
12,F,Suecia,Tunez
13,H,Arabia Saudi,Uruguay
14,H,EspaÒa,Cabo Verde
15,G,Iran,Nueva Zelanda
16,G,Belgica,Egipto
17,I,Francia,Senegal
18,I,Irak,Noruega
19,J,Argentina,Argelia
20,J,Austria,Jordania
21,L,Ghana,Panam·
22,L,Inglaterra,Croacia
23,K,Portugal,Congo
24,K,Uzbekistan,Colombia
25,A,Checa,Sudafrica
26,B,Suiza,Bosnia
27,B,Canada,Catar
28,A,Mexico,Corea
29,C,Brasil,Haiti
30,C,Escocia,Marruecos
31,D,Turquia,Paraguay
32,D,USA,Australia
33,E,Alemania,Costa de Marfil
34,E,Ecuador,Curazao
35,F,Holanda,Suecia
36,F,Tunez,Japon
37,H,Uruguay,Cabo Verde
38,H,EspaÒa,Arabia Saudi
39,G,Belgica,Iran
40,G,Nueva Zelanda,Egipto
41,I,Noruega,Senegal
42,I,Francia,Irak
43,J,Argentina,Austria
44,J,Jordania ,Argelia
45,L,Inglaterra,Ghana
46,L,Panama,Croacia
47,K,Portugal,Uzbekistan
48,K,Colombia,Congo
49,C,Escocia,Brasil
50,C,Marruecos,Haiti
51,B,Suiza,Canada
52,B,Bosnia,Catar
53,A,Checa,Mexico
54,A,Sudafrica,Corea
55,E,Curazao,Costa de Marfil
56,E,Ecuador,Alemania
57,F,Japon,Suecia
58,F,Tunez,Holanda
59,D,Turquia,USA
60,D,Paraguay,Australia
61,I,Noruega,Francia
62,I,Senegal,Irak
63,G,Egipto,Iran
64,G,Nueva Zelanda,Belgica
65,H,Cabo verde,Arabia Saudi
66,H,Uruguay,EspaÒa
67,L,Panama,Inglaterra
68,L,Croacia,Ghana
69,J,Argelia,Austria
70,J,Jordania ,Argentina
71,K,Colombia,Portugal
72,K,Congo,Uzbekistan
